Pertanyaan,Opsi A,Opsi B,Opsi C,Opsi D,Kunci Jawaban,Paket Soal
"Apa ibukota Indonesia?","Jakarta","Bandung","Surabaya","Medan","A","SEMUA"
"Berapa hasil dari 2 + 2?","3","4","5","6","B","SEMUA"
"Siapa presiden pertama Republik Indonesia?","Soekarno","Soeharto","Habibie","Megawati","A","GANJIL"
"Planet terdekat dengan matahari adalah?","Venus","Mars","Merkurius","Bumi","C","GENAP"
"Berapa jumlah provinsi di Indonesia saat ini?","34","35","36","37","A","SEMUA"
"Bahasa pemrograman yang digunakan untuk Android adalah?","Python","Java","C++","Ruby","B","GANJIL"
"Siapakah penemu lampu pijar?","Nikola Tesla","Thomas Edison","Alexander Graham Bell","Albert Einstein","B","GENAP"
"Berapa hasil dari 5 x 8?","35","40","45","50","B","SEMUA"
"Apa kepanjangan dari HTML?","Hyper Text Markup Language","High Tech Modern Language","Home Tool Markup Language","Hyperlinks and Text Markup Language","A","GANJIL"
"Dalam sistem operasi, apa kepanjangan dari OS?","Open Source","Operating System","Online Service","Optical Storage","B","GENAP"
